month,site,site.long.name,lat,lon,MOA,TOA,BC,SO4,NCL,DST,smSS,total.aerosol
APR,MIA_89-02_M_ng,ML027,33.308,237.279,0,0,0,0,0,0,3.57632389836e-10,0
MAY,MIA_89-02_M_ng,ML027,33.308,237.279,0,0,0,0,0,0,3.63388298358e-10,0
JUN,MIA_89-02_M_ng,ML027,33.308,237.279,0,0,0,0,0,0,4.21293876341e-10,0
JUL,MIA_89-02_M_ng,ML027,33.308,237.279,0,0,0,0,0,0,3.2068712797e-10,0
AUG,MIA_89-02_M_ng,ML027,33.308,237.279,0,0,0,0,0,0,3.18491062952e-10,0
SEP,MIA_89-02_M_ng,ML027,33.308,237.279,0,0,0,0,0,0,2.00895920435e-10,0
OCT,MIA_89-02_M_ng,ML027,33.308,237.279,0,0,0,0,0,0,3.32873900929e-10,0
NOV,MIA_89-02_M_ng,ML027,33.308,237.279,0,0,0,0,0,0,3.33279270159e-10,0
DEC,MIA_89-02_M_ng,ML027,33.308,237.279,0,0,0,0,0,0,3.02011129636e-10,0
JAN,Mace Head,ML024,51.892,237.211,0,0,0,0,0,0,1.75479237083e-10,0
FEB,Mace Head,ML024,51.892,237.211,0,0,0,0,0,0,1.6998123084e-10,0
MAR,Mace Head,ML024,51.892,237.211,0,0,0,0,0,0,1.58401556083e-10,0
APR,Mace Head,ML024,51.892,237.211,0,0,0,0,0,0,1.40957729515e-10,0
MAY,Mace Head,ML024,51.892,237.211,0,0,0,0,0,0,1.28164057234e-10,0
JUN,Mace Head,ML024,51.892,237.211,0,0,0,0,0,0,1.35397316133e-10,0
