
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	5-24-1985	6-2-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-2-1985	6-9-1985	4.509	0.302	1.191	2.672	0.519	#N/A	#N/A	0.602	#N/A	2.3	0.114	48.2	2.689	#N/A
	6-9-1985	6-19-1985	4.514	0.498	1.876	2.854	1.158	#N/A	#N/A	0.950	#N/A	2.7	0.387	76.0	4.059	#N/A
	6-19-1985	6-26-1985	6.496	0.592	2.039	3.830	1.075	#N/A	#N/A	0.947	#N/A	3.5	0.390	75.7	4.877	#N/A
	6-26-1985	7-4-1985	5.727	0.273	1.314	3.264	0.492	#N/A	#N/A	0.328	#N/A	3.2	0.129	26.3	2.322	#N/A
	7-4-1985	7-10-1985	5.429	0.187	1.190	3.089	0.413	#N/A	#N/A	0.167	#N/A	3.3	0.084	13.3	2.238	#N/A
	7-10-1985	7-17-1985	6.569	0.727	2.752	4.186	1.699	#N/A	#N/A	0.981	#N/A	4.3	0.267	78.5	3.491	#N/A
	7-17-1985	7-29-1985	7.480	0.303	1.837	4.853	0.616	#N/A	#N/A	0.246	#N/A	5.6	0.119	19.7	#N/A	#N/A
	7-29-1985	8-4-1985	14.356	0.455	2.672	7.820	0.704	#N/A	#N/A	0.256	#N/A	9.0	0.150	20.4	3.407	#N/A
	8-4-1985	8-16-1985	36.413	1.100	6.679	21.790	1.195	#N/A	#N/A	0.413	#N/A	22.2	0.675	33.0	6.330	#N/A
	8-16-1985	8-23-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-23-1985	8-30-1985	6.513	0.176	1.221	3.501	0.339	#N/A	#N/A	0.117	#N/A	3.5	0.046	9.3	#N/A	#N/A
